#title,HAXPES_TEC10F50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10F50E

79.9736,19846.4
79.9236,20003.4
79.8736,19975.1
79.8236,19993.6
79.7736,19939.8
79.7236,20084.8
79.6736,20053.3
79.6236,20342.7
79.5736,20367.5
79.5236,20318
79.4736,20444.1
79.4236,20290
79.3736,20107.5
79.3236,20101.1
79.2736,20401.1
79.2236,20563.9
79.1736,20573.2
79.1236,20672.4
79.0736,20726.7
79.0236,20902
78.9736,20750.3
78.9236,20700.6
78.8736,20746.1
78.8236,20795.9
78.7736,20805.2
78.7236,20667.6
78.6736,20449.4
78.6236,20774.6
78.5736,20762
78.5236,20883.3
78.4736,21171.8
78.4236,21206.8
78.3736,21261.7
78.3236,21249.2
78.2736,21177.4
78.2236,21200.4
78.1736,21298.1
78.1236,21316
78.0736,21638.3
78.0236,21337
77.9736,21537.3
77.9236,21605.1
77.8736,21691.3
77.8236,21585
77.7736,21727.1
77.7236,21653
77.6736,21778.2
77.6236,21700.2
77.5736,21800.2
77.5236,21809.8
77.4736,22039.9
77.4236,22210.4
77.3736,22264.6
77.3236,22079.2
77.2736,21984.6
77.2236,21905.7
77.1736,22335.9
77.1236,22555.3
77.0736,22457.2
77.0236,22517.3
76.9736,22726.2
76.9236,23089.8
76.8736,23260.8
76.8236,23476
76.7736,23373.8
76.7236,23269.6
76.6736,23428.2
76.6236,23604.9
76.5736,23385.3
76.5236,23823.9
76.4736,23849.9
76.4236,24288
76.3736,24367.5
76.3236,24438.8
76.2736,24571.6
76.2236,24788.6
76.1736,25184.1
76.1236,25192
76.0736,25620.1
76.0236,26156.7
75.9736,26123.2
75.9236,26243.8
75.8736,26650.9
75.8236,27179.2
75.7736,27633
75.7236,27832.7
75.6736,28403.6
75.6236,29006.1
75.5736,29327.7
75.5236,30069
75.4736,30775.1
75.4236,31320.6
75.3736,32144.2
75.3236,32546.4
75.2736,33197.2
75.2236,34291
75.1736,35217.7
75.1236,35747.3
75.0736,36934.6
75.0236,37617.3
74.9736,38793.3
74.9236,39402.5
74.8736,40810.4
74.8236,42073.5
74.7736,43290.8
74.7236,44165.1
74.6736,44994.8
74.6236,46174.1
74.5736,47402.4
74.5236,48502.1
74.4736,48703.3
74.4236,48881.8
74.3736,49027.2
74.3236,48100.9
74.2736,46236.6
74.2236,43790.1
74.1736,41475.3
74.1236,38602.5
74.0736,36077.8
74.0236,33876.7
73.9736,31643.6
73.9236,29721.7
73.8736,28315.4
73.8236,27382.8
73.7736,26260
73.7236,25533.6
73.6736,24866.8
73.6236,24819.9
73.5736,24471.8
73.5236,24278.4
73.4736,23993.2
73.4236,23546
73.3736,23544.1
73.3236,23637
73.2736,23743.9
73.2236,23927.4
73.1736,23935.2
73.1236,23838.1
73.0736,24399.1
73.0236,24420.7
72.9736,24868.9
72.9236,24800.5
72.8736,24861
72.8236,25142
72.7736,25506.6
72.7236,25725.2
72.6736,25811.4
72.6236,26325.4
72.5736,26763.3
72.5236,27183.8
72.4736,27322.7
72.4236,27730.1
72.3736,28474
72.3236,29200.8
72.2736,29290.3
72.2236,29948.3
72.1736,30692.4
72.1236,31419.9
72.0736,32042
72.0236,32753.9
71.9736,34000.7
71.9236,34823.2
71.8736,35995.6
71.8236,37228.1
71.7736,38065.1
71.7236,39089.2
71.6736,40290.7
71.6236,41842
71.5736,43320.4
71.5236,44580.8
71.4736,45995.2
71.4236,47610.5
71.3736,48932.7
71.3236,50153.3
71.2736,51525.7
71.2236,52491.9
71.1736,53720
71.1236,54108.8
71.0736,54627.4
71.0236,53921.8
70.9736,52172.9
70.9236,50223.5
70.8736,46957.3
70.8236,42996
70.7736,39470.8
70.7236,35769.3
70.6736,32610.1
70.6236,30109.2
70.5736,28162.4
70.5236,26424.8
70.4736,25248.5
70.4236,24179.7
70.3736,23244.3
70.3236,22756.8
70.2736,21974.8
70.2236,21586.7
70.1736,21259.5
70.1236,21159.1
70.0736,21232.5
70.0236,21059.8
69.9736,20570.2
69.9236,20659.5
69.8736,20849
69.8236,20482
69.7736,20615.3
69.7236,20723.5
69.6736,20336.7
69.6236,20321.6
69.5736,20612.8
69.5236,20575.9
69.4736,20645.5
69.4236,20720.3
69.3736,20761.7
69.3236,20576.2
69.2736,20872.9
69.2236,21017.5
69.1736,21157.2
69.1236,21003
69.0736,20791.9
69.0236,20967.3
68.9736,21212.2
68.9236,21326.4
68.8736,21088.4
68.8236,21141.9
68.7736,21266.5
68.7236,21324.1
68.6736,21461.2
68.6236,21422.6
68.5736,21522.8
68.5236,21596.2
68.4736,21332.5
68.4236,21665.7
68.3736,21489.4
68.3236,21571.5
68.2736,21716.7
68.2236,21681.9
68.1736,21571.8
68.1236,21877
68.0736,21931.4
68.0236,21476.8
67.9736,21637.9
67.9236,21981.5
67.8736,21873.7
67.8236,21501.2
67.7736,21679.2
67.7236,21843.7
67.6736,21915.2
67.6236,21560.8
67.5736,21350.6
67.5236,21548.1
67.4736,21362.9
67.4236,21546.4
67.3736,21556
67.3236,21309.2
67.2736,21380.5
67.2236,21394.2
67.1736,21468.7
67.1236,21372.5
67.0736,21349.4
67.0236,21022.6
